=== sweep start: 66 built pages x 4 gates = 264 checks ===
[1/66] about ok  (running: 4 pass, 0 fail)
[2/66] antibiotic-treatment ok  (running: 8 pass, 0 fail)
[3/66] blue-diamond ok  (running: 12 pass, 0 fail)
[4/66] bone-grafting ok  (running: 16 pass, 0 fail)
[5/66] braces-for-adults ok  (running: 20 pass, 0 fail)
[6/66] braces-for-children ok  (running: 24 pass, 0 fail)
[7/66] bruxism ok  (running: 28 pass, 0 fail)
[8/66] composite-fillings ok  (running: 32 pass, 0 fail)
[9/66] contact ok  (running: 36 pass, 0 fail)
[10/66] cookie-policy ok  (running: 40 pass, 0 fail)
[11/66] cookie-settings ok  (running: 44 pass, 0 fail)
[12/66] cosmetic-dentistry ok  (running: 48 pass, 0 fail)
[13/66] crown-lengthening ok  (running: 52 pass, 0 fail)
[14/66] crowns-caps ok  (running: 56 pass, 0 fail)
[15/66] dental-exams-cleanings ok  (running: 60 pass, 0 fail)
